品种,合约,合约月份,日期,收盘价
棕榈油,p2609,09,20260105,8376.0
棕榈油,p2609,09,20260106,8382.0
棕榈油,p2609,09,20260107,8452.0
棕榈油,p2609,09,20260108,8500.0
棕榈油,p2609,09,20260109,8570.0
棕榈油,p2609,09,20260112,8618.0
棕榈油,p2609,09,20260113,8678.0
棕榈油,p2609,09,20260114,8682.0
棕榈油,p2609,09,20260115,8564.0
棕榈油,p2609,09,20260116,8662.0
棕榈油,p2609,09,20260119,8622.0
棕榈油,p2609,09,20260120,8716.0
棕榈油,p2609,09,20260121,8794.0
棕榈油,p2609,09,20260122,8898.0
棕榈油,p2609,09,20260123,8872.0
棕榈油,p2609,09,20260126,9050.0
棕榈油,p2609,09,20260127,9164.0
棕榈油,p2609,09,20260128,9210.0
棕榈油,p2609,09,20260129,9294.0
棕榈油,p2609,09,20260130,9160.0
棕榈油,p2609,09,20260202,8958.0
棕榈油,p2609,09,20260203,9040.0
棕榈油,p2609,09,20260204,9086.0
棕榈油,p2609,09,20260205,9014.0
棕榈油,p2609,09,20260206,8998.0
棕榈油,p2609,09,20260209,8988.0
棕榈油,p2609,09,20260210,8912.0
棕榈油,p2609,09,20260211,8886.0
棕榈油,p2609,09,20260212,8768.0
棕榈油,p2609,09,20260213,8696.0
棕榈油,p2609,09,20260224,8814.0
棕榈油,p2609,09,20260225,8848.0
棕榈油,p2609,09,20260226,8738.0
棕榈油,p2609,09,20260227,8794.0
棕榈油,p2609,09,20260302,8920.0
棕榈油,p2609,09,20260303,9004.0
棕榈油,p2609,09,20260304,9024.0
棕榈油,p2609,09,20260305,9092.0
棕榈油,p2609,09,20260306,9198.0
棕榈油,p2609,09,20260309,9632.0
棕榈油,p2609,09,20260310,9426.0
棕榈油,p2609,09,20260311,9470.0
棕榈油,p2609,09,20260312,9602.0
棕榈油,p2609,09,20260313,9652.0
棕榈油,p2609,09,20260316,9858.0
棕榈油,p2609,09,20260317,9810.0
棕榈油,p2609,09,20260318,9608.0
棕榈油,p2609,09,20260319,9706.0
棕榈油,p2609,09,20260320,9658.0
棕榈油,p2609,09,20260323,9888.0
棕榈油,p2609,09,20260324,9622.0
棕榈油,p2609,09,20260325,9510.0
棕榈油,p2609,09,20260326,9610.0
棕榈油,p2609,09,20260327,9724.0
棕榈油,p2609,09,20260330,9900.0
棕榈油,p2609,09,20260331,9888.0
棕榈油,p2609,09,20260401,9824.0
棕榈油,p2609,09,20260402,10008.0
棕榈油,p2609,09,20260403,9988.0
棕榈油,p2609,09,20260407,9988.0
棕榈油,p2609,09,20260408,9568.0
棕榈油,p2609,09,20260409,9650.0
棕榈油,p2609,09,20260410,9621.0
棕榈油,p2609,09,20260413,9546.0
棕榈油,p2609,09,20260414,9433.0
棕榈油,p2609,09,20260415,9411.0
棕榈油,p2609,09,20260416,9402.0
棕榈油,p2609,09,20260417,9492.0
棕榈油,p2609,09,20260420,9486.0
棕榈油,p2609,09,20260421,9730.0
棕榈油,p2609,09,20260422,9822.0
棕榈油,p2609,09,20260423,9781.0
棕榈油,p2609,09,20260424,9778.0
棕榈油,p2609,09,20260427,9785.0
棕榈油,p2609,09,20260428,9759.0
棕榈油,p2609,09,20260429,9780.0
棕榈油,p2609,09,20260430,9821.0
棕榈油,p2609,09,20260506,9864.0
棕榈油,p2609,09,20260507,9752.0
棕榈油,p2609,09,20260508,9680.0
棕榈油,p2609,09,20260511,9682.0
棕榈油,p2609,09,20260512,9565.0
棕榈油,p2609,09,20260513,9492.0
棕榈油,p2609,09,20260514,9405.0
棕榈油,p2609,09,20260515,9420.0
棕榈油,p2609,09,20260518,9576.0
棕榈油,p2609,09,20260519,9672.0
棕榈油,p2609,09,20260520,9721.0
棕榈油,p2609,09,20260521,9518.0
棕榈油,p2609,09,20260522,9471.0
棕榈油,p2609,09,20260525,9464.0
棕榈油,p2609,09,20260526,9433.0
棕榈油,p2609,09,20260527,9517.0
棕榈油,p2609,09,20260528,9599.0
棕榈油,p2609,09,20260529,9592.0
棕榈油,p2609,09,20260601,9729.0
棕榈油,p2609,09,20260602,9726.0
棕榈油,p2609,09,20260603,9766.0
棕榈油,p2609,09,20260604,9574.0
棕榈油,p2609,09,20260605,9382.0
棕榈油,p2609,09,20260608,9424.0
棕榈油,p2609,09,20260609,9265.0
棕榈油,p2609,09,20260610,9316.0
棕榈油,p2609,09,20260611,9393.0
棕榈油,p2609,09,20260612,9321.0
棕榈油,p2609,09,20260615,9232.0
棕榈油,p2609,09,20260616,9357.0
