日期,品种,合约,合约月份,席位,多头持仓,空头持仓,净持仓,净持仓方向,多头增减仓,空头增减仓
20260105,菜粕,RM2609,09,中粮期货,0,7275,-7275,净空,0,-9
20260105,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260105,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260105,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260106,菜粕,RM2609,09,中粮期货,0,7282,-7282,净空,0,7
20260106,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260106,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260106,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260107,菜粕,RM2609,09,中粮期货,0,3250,-3250,净空,0,-4032
20260107,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260107,菜粕,RM2609,09,摩根大通期货,892,0,892,净多,129,0
20260107,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260108,菜粕,RM2609,09,中粮期货,0,4326,-4326,净空,0,1076
20260108,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260108,菜粕,RM2609,09,摩根大通期货,892,0,892,净多,0,0
20260108,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260109,菜粕,RM2609,09,中粮期货,0,6225,-6225,净空,0,1899
20260109,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260109,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260109,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260112,菜粕,RM2609,09,中粮期货,0,5223,-5223,净空,0,-1002
20260112,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260112,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260112,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260113,菜粕,RM2609,09,中粮期货,0,5953,-5953,净空,0,730
20260113,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260113,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260113,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260114,菜粕,RM2609,09,中粮期货,0,5953,-5953,净空,0,0
20260114,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260114,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260114,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260115,菜粕,RM2609,09,中粮期货,0,6698,-6698,净空,0,745
20260115,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260115,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260115,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260116,菜粕,RM2609,09,中粮期货,0,8968,-8968,净空,0,2270
20260116,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260116,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260116,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260119,菜粕,RM2609,09,中粮期货,2640,12144,-9504,净空,2407,3176
20260119,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260119,菜粕,RM2609,09,摩根大通期货,0,0,0,持平,0,0
20260119,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260120,菜粕,RM2609,09,中粮期货,3293,15144,-11851,净空,653,3000
20260120,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260120,菜粕,RM2609,09,摩根大通期货,1762,0,1762,净多,1000,0
20260120,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260121,菜粕,RM2609,09,中粮期货,7938,17982,-10044,净空,4645,2838
20260121,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260121,菜粕,RM2609,09,摩根大通期货,2200,3019,-819,净空,438,2556
20260121,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260122,菜粕,RM2609,09,中粮期货,7539,17830,-10291,净空,-399,-152
20260122,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260122,菜粕,RM2609,09,摩根大通期货,2200,3218,-1018,净空,0,199
20260122,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260123,菜粕,RM2609,09,中粮期货,7108,15230,-8122,净空,-431,-2600
20260123,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260123,菜粕,RM2609,09,摩根大通期货,0,3446,-3446,净空,0,228
20260123,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260123,菜粕,RM2701,01,中粮期货,0,0,0,持平,0,0
20260123,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260123,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260123,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260126,菜粕,RM2609,09,中粮期货,7740,16258,-8518,净空,632,1028
20260126,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260126,菜粕,RM2609,09,摩根大通期货,0,3446,-3446,净空,0,0
20260126,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260126,菜粕,RM2701,01,中粮期货,0,0,0,持平,0,0
20260126,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260126,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
20260126,菜粕,RM2701,01,瑞银期货,0,0,0,持平,0,0
20260127,菜粕,RM2609,09,中粮期货,7571,17647,-10076,净空,-169,1389
20260127,菜粕,RM2609,09,乾坤期货,0,0,0,持平,0,0
20260127,菜粕,RM2609,09,摩根大通期货,0,3556,-3556,净空,0,110
20260127,菜粕,RM2609,09,瑞银期货,0,0,0,持平,0,0
20260127,菜粕,RM2701,01,中粮期货,0,0,0,持平,0,0
20260127,菜粕,RM2701,01,乾坤期货,0,0,0,持平,0,0
20260127,菜粕,RM2701,01,摩根大通期货,0,0,0,持平,0,0
